id,sentence,M,R,S,W
1332_17, 我們 可以 準備 的 時間 是 大概 一 個 月 ， 學生 們 週末 的 時候 比較 忙 ， 所以 我們 上課 之前 要 練習 ， 每 禮拜二 、 四 在 １２３ 教室 我們 要 練習 。,0,0,0,1
1332_18, 可以 用 １２３ 教室 ， 請 老師 幫 我們 。,0,0,1,0
1332_19, 為了 ２００９年 ６月 ６日,0,1,0,0
1333_2, 我 想 跟 老師 討論 ， 我 對於 這 次 國語 中心 所 舉辦 的 新年 晚會 活動 的 一些 追 主意 和 看法 。,0,1,0,0
1333_3, 首先 ， 跟 一些 討論 我 和 我們 班 上 的 同學 們 ， 覺得 晚會 該 有 一些 傳統 的 國際 表演 。,0,1,0,1
1333_5, 所以 如果 我們 往 這 個 方向 去 計畫 晚會 ， 不但 會 很 精彩 ， 同時 也 給 大家 學習 各 國 文化 的 機會 。,1,0,0,0
1333_6, 第二 ， 因為 大家 的 時刻表 不 完全 一致 ， 所以 我們 需要 安排 一些 練習 的 時間 。,0,0,1,0
1333_8, 大家 願意 在 靠近 表演 的 時間 更加 努力 的 練習 。,1,0,1,0
1333_9, 因為 我們 晚會 是 在 學校 的 小 禮堂 舉行 ， 所以 我 在 那兒 是 最 好 的 選擇 。,1,0,0,0
1333_10, 但是 小 禮堂 下午 六點 和 週末 都 會 上鎖 ， 所以 希望 可以 邀請 老師 來 幫忙 借 學校 的 鑰匙 。,0,1,1,0
1333_11, 若 老師 不 方便 借 的話 ， 可不可以 請 老師 幫忙 通知 負責 的 單位 ， 所 闢 我們 可以 每 次 要 用 的 ， 下午 可以 去 跟 他們 借來 用 。,1,0,1,0
1333_12, 還 有 因為 我們 都 沒有 收音機 ， 而 很多 是 需要 音樂 的 表演 ， 要 知道 老師 有沒有 ， 可以 借 我們 來 用 一下 。,1,1,1,0
1333_13, 最後 希望 可以 聽 過 老師 連絡 到 國語 中心 來 幫忙 ， 做 一些 邀請卡 來 邀請 不同 國家 的 大使 或 代表 來 參加 這 次 的 活動 。,0,0,1,0
1333_14, 希望 國語 中心 可以 提供 一些 錢 ， 所以 學生 們 可以 做 服裝 等 的 物品 。,0,0,1,0
1333_15, 除此之外 ， 還 希望 可以 有 國語 中心 邀請 全 校 的 學生 來 參加 這 個 活動 來 ， 讓 更多 人 體會到 國華 的 新年 。,0,1,1,0
1333_17, 張小春 同學 敬上,0,1,0,0
1337_5, 不但 不 需要 什麼 材料 ， 而 大家 都 可以 參加 。,0,0,1,0
1337_6, 我 認為 應該 是 大家 都 喜歡 唱歌 。,0,1,0,1
